frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
0	0.000000	162986066424166	162986070608458	consumed-notification	162986120829125	162986070611041
1	0.033333	162986067484416	162986070649583	consumed-notification	162986190022208	162986070651000
2	0.066667	162986070749625	162986070793958	consumed-notification	162986223315791	162986070795750
3	0.100000	162986070879000	162986070923208	consumed-notification	162986253225291	162986070925250
4	0.133333	162986071006583	162986139721125	consumed-notification	162986286531375	162986139725125
5	0.166667	162986139791791	162986187677666	consumed-notification	162986319873958	162986187685458
6	0.200000	162986187687958	162986223197125	consumed-notification	162986353192583	162986223199458
7	0.233333	162986223194125	162986223284375	consumed-notification	162986393589541	162986223285541
8	0.266667	162986223272791	162986223384708	consumed-notification	162986419851958	162986223387291
9	0.300000	162986223386125	162986223486125	consumed-notification	162986453190541	162986223488625
10	0.333333	162986223467708	162986223575666	consumed-notification	162986486516791	162986223576666
11	0.366667	162986223587333	162986391689916	consumed-notification	162986519848458	162986391693333
12	0.400000	162986391696416	162986428135375	consumed-notification	162986553183416	162986428139833
13	0.433333	162986428291458	162986466290875	consumed-notification	162986586514083	162986466295000
14	0.466667	162986465641708	162986466443041	consumed-notification	162986619857458	162986466445333
15	0.500000	162986466401791	162986466470583	consumed-notification	162986653183583	162986466472083
16	0.533333	162986466567333	162986558650583	consumed-notification	162986693293791	162986558654458
17	0.566667	162986558633375	162986558750208	consumed-notification	162986723328375	162986558751500
18	0.600000	162986558759083	162986630958625	consumed-notification	162986756669625	162986630961750
19	0.633333	162986631087375	162986649888750	consumed-notification	162986789996083	162986649892375
20	0.666667	162986649841375	162986649918125	consumed-notification	162986823329000	162986649919333
21	0.700000	162986649990333	162986723368666	consumed-notification	162986856666791	162986723372416
22	0.733333	162986723471625	162986760780291	consumed-notification	162986890005416	162986760784166
23	0.766667	162986760869250	162986798172875	consumed-notification	162986923329208	162986798177208
24	0.800000	162986798289416	162986816883875	consumed-notification	162986963331166	162986816888291
25	0.833333	162986816980125	162986852555500	consumed-notification	162986986521541	162986852560000
26	0.866667	162986852625166	162986889984791	consumed-notification	162987020304833	162986889989583
27	0.900000	162986890072083	162986927419333	consumed-notification	162987053195833	162986927423500
28	0.933333	162986927533958	162986964798416	consumed-notification	162987086526541	162986964801791
29	0.966667	162986964890833	162986983552125	consumed-notification	162987119856708	162986983556916
30	1.000000	162986983660083	162987019358375	consumed-notification	162987153186625	162987019361750
31	1.033333	162987019441333	162987056785958	consumed-notification	162987186515875	162987056789583
32	1.066667	162987056856125	162987094231333	consumed-notification	162987219869333	162987094234916
33	1.100000	162987094336000	162987131642375	consumed-notification	162987253197875	162987131645791
34	1.133333	162987131738125	162987169083041	consumed-notification	162987286526083	162987169087375
35	1.166667	162987169191708	162987187799791	consumed-notification	162987319862541	162987187803458
36	1.200000	162987187956000	162987225240750	consumed-notification	162987353189125	162987225247333
37	1.233333	162987225346250	162987262644875	consumed-notification	162987386523458	162987262648583
38	1.266667	162987262756125	162987300059333	consumed-notification	162987419849625	162987300064000
39	1.300000	162987300196291	162987318775666	consumed-notification	162987453184083	162987318782791
40	1.333333	162987318912541	162987354380958	consumed-notification	162987486520250	162987354384166
41	1.366667	162987354497875	162987391815208	consumed-notification	162987519846875	162987391818500
42	1.400000	162987391932250	162987429251708	consumed-notification	162987553179708	162987429255541
43	1.433333	162987429332916	162987466721166	consumed-notification	162987586521750	162987466725166
44	1.466667	162987466823875	162987484419166	consumed-notification	162987619851083	162987484422833
45	1.500000	162987484533916	162987521857750	consumed-notification	162987710375125	162987521864458
46	1.533333	162987521947166	162987559254291	consumed-notification	162987710375125	162987559257916
47	1.566667	162987559320708	162987595900875	consumed-notification	162987728254500	162987595904500
48	1.600000	162987595993500	162987652017750	consumed-notification	162987753185291	162987652021416
49	1.633333	162987652123583	162987670759041	consumed-notification	162987786518791	162987670762625
50	1.666667	162987670871208	162987707623250	consumed-notification	162987819857291	162987707627291
51	1.700000	162987707726375	162987724728375	consumed-notification	162987853180875	162987724732291
52	1.733333	162987724820958	162987762178666	consumed-notification	162987886515333	162987762182000
53	1.766667	162987762275958	162987799627750	consumed-notification	162987919854750	162987799637166
54	1.800000	162987799795500	162987817084916	consumed-notification	162987953186333	162987817089791
55	1.833333	162987817168958	162987871925833	consumed-notification	162987986546125	162987871929791
56	1.866667	162987872011541	162987890650208	consumed-notification	162988019853166	162987890653666
57	1.900000	162987890744708	162987926089666	consumed-notification	162988053189000	162987926093375
58	1.933333	162987926189208	162987962614958	consumed-notification	162988086520500	162987962618666
59	1.966667	162987962693916	162988000066583	consumed-notification	162988119862708	162988000076541
60	2.000000	162988000197041	162988018761458	consumed-notification	162988165355291	162988018764833
61	2.033333	162988018840708	162988054245750	consumed-notification	162988186516916	162988054248916
62	2.066667	162988054342875	162988091674083	consumed-notification	162988219854458	162988091677458
63	2.100000	162988091787708	162988129127916	consumed-notification	162988253179041	162988129132666
64	2.133333	162988129220166	162988164862250	consumed-notification	162988286512291	162988164865333
65	2.166667	162988164961583	162988200652791	consumed-notification	162988319864541	162988200656125
66	2.200000	162988200746000	162988236698666	consumed-notification	162988353179500	162988236702541
67	2.233333	162988236810916	162988254583458	consumed-notification	162988386524666	162988254587750
68	2.266667	162988254698666	162988290271666	consumed-notification	162988419850000	162988290277583
69	2.300000	162988290417625	162988327717250	consumed-notification	162988453191083	162988327722375
70	2.333333	162988327821375	162988365071333	consumed-notification	162988486503375	162988365076666
71	2.366667	162988365168375	162988400332750	consumed-notification	162988519850958	162988400337041
72	2.400000	162988400436375	162988419085666	consumed-notification	162988553180375	162988419089375
73	2.433333	162988419188125	162988456267875	consumed-notification	162988586511916	162988456271375
74	2.466667	162988456340500	162988492062250	consumed-notification	162988620382375	162988492066125
75	2.500000	162988492135666	162988529469458	consumed-notification	162988653183666	162988529473416
76	2.533333	162988529555125	162988565581958	consumed-notification	162988686513125	162988565585541
77	2.566667	162988565725916	162988584300208	consumed-notification	162988719845208	162988584303416
78	2.600000	162988584383583	162988640401166	consumed-notification	162988753180208	162988640410000
79	2.633333	162988640516000	162988657219583	consumed-notification	162988786508333	162988657223000
80	2.666667	162988657332125	162988692449375	consumed-notification	162988819841541	162988692453041
81	2.700000	162988692552500	162988729867333	consumed-notification	162988853175166	162988729876166
82	2.733333	162988729972333	162988767281583	consumed-notification	162988886514125	162988767285333
83	2.766667	162988767363541	162988804705375	consumed-notification	162988919857375	162988804710000
84	2.800000	162988804845375	162988821891833	consumed-notification	162988953185208	162988821895583
85	2.833333	162988821973416	162988859330208	consumed-notification	162988986510458	162988859334208
86	2.866667	162988859395833	162988896407125	consumed-notification	162989019842666	162988896409875
87	2.900000	162988896478666	162988933819916	consumed-notification	162989053176916	162988933822500
88	2.933333	162988933903458	162988951630791	consumed-notification	162989086513041	162988951634750
89	2.966667	162988951685916	162988986594625	consumed-notification	162989119858375	162988986597833
90	3.000000	162988986674583	162989042688916	consumed-notification	162989153192083	162989042692250
91	3.033333	162989042798583	162989060917250	consumed-notification	162989186514500	162989060921625
92	3.066667	162989061028125	162989096952875	consumed-notification	162989219848291	162989096956875
93	3.100000	162989097026583	162989134201916	consumed-notification	162989253176541	162989134205166
94	3.133333	162989134283583	162989152924791	consumed-notification	162989286506291	162989152928125
95	3.166667	162989153025958	162989209047541	consumed-notification	162989319857875	162989209051458
96	3.200000	162989209159916	162989227798958	consumed-notification	162989353187583	162989227802750
97	3.233333	162989227893875	162989265187041	consumed-notification	162989386508000	162989265190666
98	3.266667	162989265266000	162989283920291	consumed-notification	162989419863083	162989283924250
99	3.300000	162989284017041	162989321342583	consumed-notification	162989453175916	162989321347041
100	3.333333	162989321404791	162989358755416	consumed-notification	162989486519291	162989358758750
101	3.366667	162989358835083	162989395265083	consumed-notification	162989519842583	162989395269041
102	3.400000	162989395366958	162989432673833	consumed-notification	162989553180000	162989432676916
103	3.433333	162989432752375	162989468114250	consumed-notification	162989603181166	162989468118541
104	3.466667	162989468220541	162989486826541	consumed-notification	162989619856750	162989486829916
105	3.500000	162989486905041	162989522821375	consumed-notification	162989653177750	162989522838708
106	3.533333	162989524280875	162989558568500	consumed-notification	162989686524083	162989558572250
107	3.566667	162989558678375	162989594851916	consumed-notification	162989719850291	162989594856708
108	3.600000	162989597471958	162989629956583	consumed-notification	162989753174625	162989629966500
109	3.633333	162989631434833	162989663471500	consumed-notification	162989786520791	162989663475375
110	3.666667	162989664485166	162989697004416	consumed-notification	162989819854875	162989697008958
111	3.700000	162989699337583	162989732762625	consumed-notification	162989853175583	162989732766291
112	3.733333	162989732854083	162989751484583	consumed-notification	162989886514041	162989751488083
113	3.766667	162989751584041	162989787583166	consumed-notification	162989919851875	162989787587208
114	3.800000	162989787672166	162989824970166	consumed-notification	162989953170208	162989824973958
115	3.833333	162989825049416	162989859444750	consumed-notification	162989986529208	162989859448541
116	3.866667	162989859505500	162989895900333	consumed-notification	162990019843625	162989895919041
117	3.900000	162989896003625	162989931750625	consumed-notification	162990053181333	162989931754958
118	3.933333	162989931843750	162989950457333	consumed-notification	162990086505916	162989950459958
119	3.966667	162989950545291	162989987877125	consumed-notification	162990119836791	162989987880208
120	4.000000	162989987971416	162990024746875	consumed-notification	162990153178666	162990024751500
121	4.033333	162990024841541	162990061949458	consumed-notification	162990186505666	162990061953250
122	4.066667	162990062040500	162990097908666	consumed-notification	162990219870250	162990097912666
123	4.100000	162990097996666	162990116629208	consumed-notification	162990253172875	162990116633541
124	4.133333	162990116733333	162990154071750	consumed-notification	162990286503875	162990154076000
125	4.166667	162990154241041	162990187911666	consumed-notification	162990319838250	162990187916541
126	4.200000	162990188034833	162990224688500	consumed-notification	162990353169541	162990224692958
127	4.233333	162990224832875	162990262069958	consumed-notification	162990386501833	162990262073000
128	4.266667	162990262158708	162990296924250	consumed-notification	162990419853333	162990296927083
129	4.300000	162990297019250	162990333411208	consumed-notification	162990453172666	162990333416166
130	4.333333	162990333514583	162990351220416	consumed-notification	162990486514125	162990351224041
131	4.366667	162990351326333	162990388209416	consumed-notification	162990519850333	162990388213500
132	4.400000	162990388322750	162990424877458	consumed-notification	162990553188041	162990424881500
133	4.433333	162990424982291	162990462287500	consumed-notification	162990586518833	162990462290750
134	4.466667	162990462405000	162990499720916	consumed-notification	162990619842250	162990499724833
135	4.500000	162990499835708	162990518455791	consumed-notification	162990653171125	162990518459541
136	4.533333	162990518599958	162990555919166	consumed-notification	162990686512041	162990555923458
137	4.566667	162990556025416	162990592635291	consumed-notification	162990719838416	162990592639000
138	4.600000	162990592766041	162990626317833	consumed-notification	162990753175250	162990626321416
139	4.633333	162990626428041	162990660274083	consumed-notification	162990786521041	162990660278250
140	4.666667	162990660441250	162990695620708	consumed-notification	162990819895041	162990695625166
141	4.700000	162990695721166	162990732261208	consumed-notification	162990853168583	162990732264916
142	4.733333	162990732396583	162990750967291	consumed-notification	162990886511250	162990750971416
143	4.766667	162990751092083	162990787541291	consumed-notification	162990919837875	162990787545041
