frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
0	0.000000	163087649227375	163087659241791	consumed-notification	163087660007583	163087659245083
1	0.033333	163087655731041	163087659285625	consumed-notification	163087707353000	163087659286625
2	0.066667	163087659383666	163087659426625	consumed-notification	163087740666666	163087659428666
3	0.100000	163087659469666	163087659497291	consumed-notification	163087773987625	163087659498416
4	0.133333	163087659543083	163087690512458	consumed-notification	163087807325333	163087690515625
5	0.166667	163087690493083	163087690611291	consumed-notification	163087840652333	163087690612291
6	0.200000	163087690635666	163087744574000	consumed-notification	163087874003541	163087744577666
7	0.233333	163087744557875	163087744674541	consumed-notification	163087907337333	163087744676833
8	0.266667	163087744704291	163087818121958	consumed-notification	163087940664083	163087818126666
9	0.300000	163087818098291	163087818262916	consumed-notification	163087974006833	163087818265916
10	0.333333	163087818291583	163087872258291	consumed-notification	163088007339250	163087872261916
11	0.366667	163087872255000	163087872388583	consumed-notification	163088040675291	163087872389875
12	0.400000	163087872337916	163087872408291	consumed-notification	163088074026666	163087872409166
13	0.433333	163087872446416	163087980037291	consumed-notification	163088107351125	163087980042333
14	0.466667	163087980159208	163088015747041	consumed-notification	163088140676166	163088015750250
15	0.500000	163088015820458	163088034493083	consumed-notification	163088174004583	163088034499375
16	0.533333	163088034656250	163088071211791	consumed-notification	163088207351833	163088071220416
17	0.566667	163088071543583	163088107334250	consumed-notification	163088240675791	163088107340541
18	0.600000	163088107510833	163088144552000	consumed-notification	163088274016833	163088144559708
19	0.633333	163088144923416	163088182171666	consumed-notification	163088307333083	163088182177041
20	0.666667	163088182185416	163088218054583	consumed-notification	163088340693458	163088218063625
21	0.700000	163088218381125	163088236890875	consumed-notification	163088373993250	163088236900208
22	0.733333	163088237192000	163088274399666	consumed-notification	163088407329041	163088274405250
23	0.766667	163088274635833	163088311121625	consumed-notification	163088440669500	163088311128083
24	0.800000	163088311237750	163088348816958	consumed-notification	163088474000666	163088348826125
25	0.833333	163088349349791	163088384522250	consumed-notification	163088507334583	163088384527041
26	0.866667	163088384612500	163088403188916	consumed-notification	163088540695958	163088403192041
27	0.900000	163088403265333	163088440611916	consumed-notification	163088574018291	163088440616458
28	0.933333	163088440714583	163088477391250	consumed-notification	163088607350583	163088477394375
29	0.966667	163088477494375	163088514837208	consumed-notification	163088640692875	163088514841708
30	1.000000	163088514976541	163088533518291	consumed-notification	163088674048333	163088533520958
31	1.033333	163088533643416	163088571273125	consumed-notification	163088707353625	163088571288250
32	1.066667	163088571771791	163088608209375	consumed-notification	163088740693625	163088608216750
33	1.100000	163088608475750	163088642876208	consumed-notification	163088774012625	163088642883416
34	1.133333	163088643212875	163088679948583	consumed-notification	163088807339416	163088679955750
35	1.166667	163088680211708	163088717546958	consumed-notification	163088840666583	163088717556958
36	1.200000	163088718018541	163088736316541	consumed-notification	163088873989291	163088736323625
37	1.233333	163088736800250	163088773499250	consumed-notification	163088907339041	163088773506041
38	1.266667	163088773881375	163088811095208	consumed-notification	163088941280125	163088811106416
39	1.300000	163088812525000	163088846737000	consumed-notification	163088974015875	163088846743500
40	1.333333	163088846842041	163088884123375	consumed-notification	163089007349666	163088884126958
41	1.366667	163088884201791	163088902816291	consumed-notification	163089040676125	163088902818416
42	1.400000	163088902907125	163088940250083	consumed-notification	163089074034291	163088940252708
43	1.433333	163088940349291	163088976093041	consumed-notification	163089107814791	163088976095333
44	1.466667	163088976184000	163089013503875	consumed-notification	163089140672000	163089013506708
45	1.500000	163089013590333	163089048893750	consumed-notification	163089173998541	163089048907958
46	1.533333	163089049324916	163089083342666	consumed-notification	163089207344958	163089083352208
47	1.566667	163089087538041	163089101618875	consumed-notification	163089240671291	163089101621291
48	1.600000	163089101722750	163089139123375	consumed-notification	163089274013166	163089139127416
49	1.633333	163089139328041	163089176546375	consumed-notification	163089307358625	163089176550541
50	1.666667	163089176659333	163089213197083	consumed-notification	163089340681083	163089213204541
51	1.700000	163089213347125	163089248587791	consumed-notification	163089373997375	163089248591791
52	1.733333	163089248709291	163089267281375	consumed-notification	163089407330625	163089267284083
53	1.766667	163089267395083	163089304476041	consumed-notification	163089440667916	163089304490708
54	1.800000	163089304850791	163089340898166	consumed-notification	163089474011708	163089340906166
55	1.833333	163089341223166	163089376217666	consumed-notification	163089507330458	163089376224833
56	1.866667	163089376429583	163089413614041	consumed-notification	163089540674458	163089413618833
57	1.900000	163089413723708	163089449058833	consumed-notification	163089574010666	163089449063000
58	1.933333	163089449152208	163089467728208	consumed-notification	163089607345125	163089467730291
59	1.966667	163089467801333	163089505120208	consumed-notification	163089640675416	163089505122416
60	2.000000	163089505205375	163089542536416	consumed-notification	163089674002125	163089542539916
61	2.033333	163089542631000	163089580161208	consumed-notification	163089707328291	163089580173708
62	2.066667	163089580503750	163089616169416	consumed-notification	163089740692208	163089616177500
63	2.100000	163089616500250	163089634961666	consumed-notification	163089774007333	163089634967791
64	2.133333	163089635234416	163089671547375	consumed-notification	163089807363166	163089671553958
65	2.166667	163089671801916	163089709169125	consumed-notification	163089840654208	163089709177708
66	2.200000	163089709434666	163089744963916	consumed-notification	163089873991708	163089744971041
67	2.233333	163089745226166	163089781130416	consumed-notification	163089907335208	163089781138833
68	2.266667	163089781329666	163089817976750	consumed-notification	163089940684083	163089817984833
69	2.300000	163089818258958	163089836699125	consumed-notification	163089974018958	163089836705000
70	2.333333	163089836891291	163089873941708	consumed-notification	163090007364000	163089873945625
71	2.366667	163089874040583	163089910859166	consumed-notification	163090040663666	163089910878250
72	2.400000	163089911104250	163089946205583	consumed-notification	163090074009583	163089946212250
73	2.433333	163089946398708	163089982075208	consumed-notification	163090107336541	163089982085916
74	2.466667	163089982508416	163090017984083	consumed-notification	163090140685333	163090017991583
75	2.500000	163090018294666	163090036792083	consumed-notification	163090173998500	163090036798666
76	2.533333	163090037136833	163090074390916	consumed-notification	163090207342208	163090074398791
77	2.566667	163090074949791	163090111834791	consumed-notification	163090240675583	163090111841916
78	2.600000	163090112112958	163090149499791	consumed-notification	163090274013583	163090149513958
79	2.633333	163090149936833	163090168212208	consumed-notification	163090307323375	163090168218041
80	2.666667	163090168404000	163090203811291	consumed-notification	163090340669083	163090203816666
81	2.700000	163090203980958	163090241430916	consumed-notification	163090373987250	163090241443791
82	2.733333	163090241853625	163090278415041	consumed-notification	163090407324416	163090278420791
83	2.766667	163090278530458	163090315782833	consumed-notification	163090440668458	163090315786125
84	2.800000	163090315860250	163090334486416	consumed-notification	163090474006333	163090334488083
85	2.833333	163090334535208	163090371915000	consumed-notification	163090507341625	163090371920416
86	2.866667	163090372046833	163090409027708	consumed-notification	163090540659458	163090409033041
87	2.900000	163090409480166	163090446053291	consumed-notification	163090574074958	163090446059750
88	2.933333	163090446246041	163090482198791	consumed-notification	163090607327000	163090482207833
89	2.966667	163090482559375	163090500955875	consumed-notification	163090640708541	163090500963000
90	3.000000	163090501257875	163090538192750	consumed-notification	163090674003125	163090538200458
91	3.033333	163090538583041	163090573428291	consumed-notification	163090707327500	163090573437416
92	3.066667	163090573949041	163090609500958	consumed-notification	163090740689458	163090609508791
93	3.100000	163090609811916	163090644284708	consumed-notification	163090774004958	163090644293416
94	3.133333	163090644670291	163090680635875	consumed-notification	163090807396500	163090680645750
95	3.166667	163090681065916	163090717030125	consumed-notification	163090840669625	163090717035583
96	3.200000	163090717236958	163090735717750	consumed-notification	163090874001000	163090735721125
97	3.233333	163090735888708	163090773447750	consumed-notification	163090907331333	163090773460583
98	3.266667	163090773756875	163090809205916	consumed-notification	163090940651041	163090809215125
99	3.300000	163090809626458	163090844668000	consumed-notification	163090973989666	163090844674625
100	3.333333	163090845093041	163090879322958	consumed-notification	163091007339875	163090879328750
101	3.366667	163090879515833	163090916744458	consumed-notification	163091040670833	163090916750916
102	3.400000	163090916855458	163090935419500	consumed-notification	163091074021208	163090935422083
103	3.433333	163090935488958	163090972827666	consumed-notification	163091107353000	163090972829958
104	3.466667	163090972915125	163091010236750	consumed-notification	163091140662416	163091010239083
105	3.500000	163091010315458	163091046454708	consumed-notification	163091173989791	163091046456791
106	3.533333	163091046534166	163091081907000	consumed-notification	163091207340458	163091081909833
107	3.566667	163091082025625	163091118075750	consumed-notification	163091240670666	163091118083875
108	3.600000	163091118461541	163091136913000	consumed-notification	163091273996125	163091136920708
109	3.633333	163091137231500	163091173602291	consumed-notification	163091307336375	163091173606833
110	3.666667	163091173738666	163091211064166	consumed-notification	163091340649291	163091211067666
111	3.700000	163091211216375	163091248189958	consumed-notification	163091373993541	163091248202333
112	3.733333	163091248555500	163091282916875	consumed-notification	163091407320250	163091282921291
113	3.766667	163091283060041	163091300299333	consumed-notification	163091440657625	163091300302833
114	3.800000	163091300400750	163091336766333	consumed-notification	163091473992250	163091336769958
115	3.833333	163091336854333	163091374191416	consumed-notification	163091507326833	163091374195250
116	3.866667	163091374306833	163091411100750	consumed-notification	163091540684541	163091411105083
117	3.900000	163091411197791	163091448472250	consumed-notification	163091573994833	163091448476000
118	3.933333	163091448566125	163091484458041	consumed-notification	163091607334083	163091484462583
119	3.966667	163091484575833	163091501395333	consumed-notification	163091640658375	163091501403500
120	4.000000	163091501827458	163091538452333	consumed-notification	163091673995750	163091538460708
121	4.033333	163091539248458	163091575401125	consumed-notification	163091707351583	163091575407291
122	4.066667	163091575589083	163091612777625	consumed-notification	163091740683916	163091612781625
123	4.100000	163091612922375	163091648471916	consumed-notification	163091773999500	163091648476750
124	4.133333	163091648627875	163091685401708	consumed-notification	163091807316375	163091685406708
125	4.166667	163091685496916	163091704079666	consumed-notification	163091840675625	163091704082375
126	4.200000	163091704207916	163091740999375	consumed-notification	163091873993375	163091741008375
127	4.233333	163091741399750	163091778585833	consumed-notification	163091907337666	163091778595625
128	4.266667	163091778885625	163091812719208	consumed-notification	163091941107416	163091812725583
129	4.300000	163091812947750	163091848709583	consumed-notification	163091973992500	163091848717208
130	4.333333	163091848953916	163091867366875	consumed-notification	163092007333416	163091867375208
131	4.366667	163091867984916	163091903258500	consumed-notification	163092040653166	163091903266333
132	4.400000	163091903586541	163091939929708	consumed-notification	163092073989708	163091939933791
133	4.433333	163091940055208	163091975592958	consumed-notification	163092107924125	163091975595916
134	4.466667	163091975660500	163092012997833	consumed-notification	163092140659791	163092013001125
135	4.500000	163092013091750	163092050401583	consumed-notification	163092173996166	163092050403958
136	4.533333	163092050494291	163092069119916	consumed-notification	163092207334541	163092069122625
137	4.566667	163092069233083	163092106545833	consumed-notification	163092240670375	163092106550333
138	4.600000	163092106681708	163092143995125	consumed-notification	163092274014666	163092144001416
139	4.633333	163092144107166	163092181011833	consumed-notification	163092307355541	163092181018375
140	4.666667	163092181111708	163092199807000	consumed-notification	163092340659250	163092199814458
141	4.700000	163092200684750	163092235991875	consumed-notification	163092374046125	163092235999791
142	4.733333	163092236303666	163092270095958	consumed-notification	163092407335416	163092270103375
143	4.766667	163092270434125	163092306782916	consumed-notification	163092440657333	163092306791375
144	4.800000	163092307208333	163092340840083	consumed-notification	163092473979833	163092340847166
145	4.833333	163092341293875	163092375869583	consumed-notification	163092507313375	163092375877958
146	4.866667	163092376178666	163092411859166	consumed-notification	163092540796833	163092411873625
147	4.900000	163092412261500	163092448431708	consumed-notification	163092573976500	163092448437291
148	4.933333	163092448617083	163092484442500	consumed-notification	163092607310041	163092484445833
149	4.966667	163092484535041	163092503135333	consumed-notification	163092640643166	163092503138916
150	5.000000	163092503222125	163092540514333	consumed-notification	163092673973291	163092540516416
151	5.033333	163092540583250	163092577910958	consumed-notification	163092707312458	163092577914791
152	5.066667	163092577983291	163092615233166	consumed-notification	163092740653833	163092615235958
153	5.100000	163092615309541	163092633913625	consumed-notification	163092773994625	163092633915625
154	5.133333	163092633971833	163092671333708	consumed-notification	163092807330166	163092671335416
155	5.166667	163092671381583	163092708741375	consumed-notification	163092840664625	163092708743250
156	5.200000	163092708799291	163092746151750	consumed-notification	163092874000208	163092746154041
157	5.233333	163092746258583	163092783572250	consumed-notification	163092907338958	163092783574125
158	5.266667	163092783663666	163092802265833	consumed-notification	163092940667208	163092802268375
159	5.300000	163092802373791	163092839697166	consumed-notification	163092973987041	163092839701583
160	5.333333	163092839786791	163092875792666	consumed-notification	163093007334375	163092875797958
161	5.366667	163092875967791	163092911031333	consumed-notification	163093040714666	163092911036791
162	5.400000	163092911132333	163092948650458	consumed-notification	163093074020666	163092948663708
163	5.433333	163092948948666	163092967236291	consumed-notification	163093107331083	163092967243583
164	5.466667	163092967892041	163093003186958	consumed-notification	163093140655333	163093003202125
165	5.500000	163093003636500	163093040460166	consumed-notification	163093174032041	163093040468041
166	5.533333	163093040860708	163093076476791	consumed-notification	163093207336416	163093076484916
167	5.566667	163093076822875	163093111698833	consumed-notification	163093240662000	163093111707125
168	5.600000	163093112097041	163093148438791	consumed-notification	163093273988250	163093148446208
169	5.633333	163093149272416	163093184726750	consumed-notification	163093307341708	163093184740458
170	5.666667	163093185204166	163093203541166	consumed-notification	163093340259000	163093203548916
171	5.700000	163093203858416	163093241015375	consumed-notification	163093373525708	163093241022375
172	5.733333	163093241256500	163093278687208	consumed-notification	163093406856833	163093278706500
173	5.766667	163093279119458	163093315740375	consumed-notification	163093444867750	163093315746791
174	5.800000	163093316066708	163093353239666	consumed-notification	163093478171375	163093353246000
175	5.833333	163093353377833	163093371962375	consumed-notification	163093511498125	163093371966083
176	5.866667	163093372099833	163093409688166	consumed-notification	163093544818583	163093409702750
177	5.900000	163093410384958	163093447151166	consumed-notification	163093578607208	163093447159000
178	5.933333	163093447539125	163093484733791	consumed-notification	163093611505041	163093484742625
179	5.966667	163093485046708	163093520707333	consumed-notification	163093644820291	163093520715416
180	6.000000	163093521012625	163093539495541	consumed-notification	163093678159625	163093539516375
181	6.033333	163093539828916	163093575844250	consumed-notification	163093711487291	163093575852166
182	6.066667	163093576178791	163093611871375	consumed-notification	163093744824625	163093611878333
183	6.100000	163093612183833	163093648618583	consumed-notification	163093778675958	163093648632083
184	6.133333	163093649029750	163093686292708	consumed-notification	163093811488666	163093686301083
185	6.166667	163093686590750	163093704221041	consumed-notification	163093844823458	163093704227041
186	6.200000	163093704490208	163093740391541	consumed-notification	163093878163500	163093740406666
187	6.233333	163093740776500	163093776701333	consumed-notification	163093911515166	163093776709083
188	6.266667	163093777056541	163093814238708	consumed-notification	163093944808291	163093814247708
189	6.300000	163093814500958	163093850755458	consumed-notification	163093978154958	163093850761541
190	6.333333	163093850948500	163093887935083	consumed-notification	163094011485000	163093887943583
191	6.366667	163093888321041	163093906681250	consumed-notification	163094044861958	163093906689500
192	6.400000	163093907008583	163093944108708	consumed-notification	163094078147250	163093944118583
193	6.433333	163093944694291	163093979346666	consumed-notification	163094111498166	163093979351583
194	6.466667	163093979490833	163094016734333	consumed-notification	163094144815458	163094016737791
195	6.500000	163094016812041	163094054041000	consumed-notification	163094178178750	163094054044333
196	6.533333	163094054177375	163094072743666	consumed-notification	163094211491166	163094072746708
197	6.566667	163094072840666	163094109770833	consumed-notification	163094244841625	163094109774333
198	6.600000	163094109857000	163094146945458	consumed-notification	163094278162500	163094146949041
199	6.633333	163094147103458	163094183989791	consumed-notification	163094311671458	163094183995916
200	6.666667	163094184155791	163094221668500	consumed-notification	163094344814083	163094221680541
201	6.700000	163094222135958	163094239885750	consumed-notification	163094378163833	163094239892125
202	6.733333	163094240282125	163094274419041	consumed-notification	163094411481166	163094274427500
203	6.766667	163094274889250	163094309571666	consumed-notification	163094444891875	163094309578958
204	6.800000	163094310003625	163094347100708	consumed-notification	163094478148500	163094347108833
205	6.833333	163094347463083	163094383531333	consumed-notification	163094511535666	163094383541708
206	6.866667	163094383921291	163094419682333	consumed-notification	163094544825083	163094419691166
207	6.900000	163094420108416	163094455555208	consumed-notification	163094578151208	163094455565083
208	6.933333	163094455924958	163094474314500	consumed-notification	163094611486333	163094474322125
209	6.966667	163094474733333	163094510847625	consumed-notification	163094644820458	163094510855500
210	7.000000	163094511444208	163094545143583	consumed-notification	163094678181458	163094545152666
211	7.033333	163094545628750	163094582212500	consumed-notification	163094711478250	163094582222708
212	7.066667	163094582729333	163094616583458	consumed-notification	163094744830041	163094616590000
213	7.100000	163094616963583	163094650770833	consumed-notification	163094778151458	163094650778958
214	7.133333	163094651076125	163094686698250	consumed-notification	163094811475416	163094686704958
215	7.166667	163094687054291	163094705128125	consumed-notification	163094844803250	163094705134916
216	7.200000	163094705610458	163094740394291	consumed-notification	163094878142541	163094740402833
217	7.233333	163094740775875	163094777982208	consumed-notification	163094911477666	163094777989250
218	7.266667	163094778271083	163094815375333	consumed-notification	163094944831375	163094815379958
219	7.300000	163094815493791	163094852798750	consumed-notification	163094978155791	163094852802583
220	7.333333	163094852903625	163094871520333	consumed-notification	163095011471041	163094871523416
221	7.366667	163094871630375	163094908924500	consumed-notification	163095044805041	163094908927708
222	7.400000	163094909009916	163094946350416	consumed-notification	163095078139250	163094946354458
223	7.433333	163094946487458	163094981910416	consumed-notification	163095111480791	163094981912625
224	7.466667	163094982002833	163095019309875	consumed-notification	163095144838708	163095019313375
225	7.500000	163095019407375	163095037785000	consumed-notification	163095178144875	163095037787833
226	7.533333	163095037864375	163095073637125	consumed-notification	163095211488708	163095073639958
227	7.566667	163095073735708	163095111093291	consumed-notification	163095244824625	163095111096750
228	7.600000	163095111311791	163095148529416	consumed-notification	163095278198500	163095148532375
229	7.633333	163095148748791	163095185981416	consumed-notification	163095311485500	163095185985333
230	7.666667	163095186119875	163095204693125	consumed-notification	163095344816291	163095204697041
231	7.700000	163095204780583	163095242102416	consumed-notification	163095378153583	163095242105208
232	7.733333	163095242194750	163095279903500	consumed-notification	163095411475666	163095279918083
233	7.766667	163095281236125	163095314021125	consumed-notification	163095444797416	163095314029458
234	7.800000	163095314408291	163095351491625	consumed-notification	163095478135958	163095351498666
235	7.833333	163095351664500	163095388655333	consumed-notification	163095511465041	163095388660000
236	7.866667	163095388787291	163095406195750	consumed-notification	163095544845041	163095406197833
237	7.900000	163095406268875	163095442643708	consumed-notification	163095578158250	163095442647250
238	7.933333	163095442729625	163095479741375	consumed-notification	163095611479375	163095479743791
239	7.966667	163095479834666	163095517136916	consumed-notification	163095644834625	163095517138666
240	8.000000	163095517199083	163095554547250	consumed-notification	163095678224541	163095554550458
