frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
0	0.000000	163294978175250	163294978218041	catransaction-completed	163294970383375	0
1	0.033333	163295011486541	163295011561333	catransaction-completed	163295011482833	0
2	0.066667	163295044832458	163295044919000	catransaction-completed	163295044829166	0
3	0.100000	163295078158083	163295078230375	catransaction-completed	163295078153208	0
4	0.133333	163295111501083	163295111700416	catransaction-completed	163295111494708	0
5	0.166667	163295144850041	163295144986583	catransaction-completed	163295144842458	0
6	0.200000	163295178180000	163295178327000	catransaction-completed	163295178174208	0
7	0.233333	163295222265333	163295222357208	catransaction-completed	163295222255958	0
8	0.266667	163295244830666	163295244934416	catransaction-completed	163295244825666	0
9	0.300000	163295278164375	163295278260416	catransaction-completed	163295278159458	0
10	0.333333	163295311501875	163295311597083	catransaction-completed	163295311492291	0
11	0.366667	163295344876666	163295344948958	catransaction-completed	163295344872250	0
12	0.400000	163295378186250	163295378417291	catransaction-completed	163295378166333	0
13	0.433333	163295411573375	163295411934083	catransaction-completed	163295411554750	0
14	0.466667	163295437070333	163295437229708	catransaction-completed	163295437062666	0
15	0.500000	163295478164291	163295478468041	catransaction-completed	163295478155458	0
16	0.533333	163295511481583	163295511589833	catransaction-completed	163295511474416	0
17	0.566667	163295544818791	163295544965750	catransaction-completed	163295544811250	0
18	0.600000	163295578155875	163295578325666	catransaction-completed	163295578149333	0
19	0.633333	163295611500333	163295611681583	catransaction-completed	163295611491416	0
20	0.666667	163295644848791	163295645057500	catransaction-completed	163295644840375	0
21	0.700000	163295678170291	163295678352458	catransaction-completed	163295678159958	0
22	0.733333	163295711500208	163295711725708	catransaction-completed	163295711486250	0
23	0.766667	163295744865458	163295745040166	catransaction-completed	163295744850666	0
24	0.800000	163295778269208	163295778521583	catransaction-completed	163295778255083	0
25	0.833333	163295811503125	163295811756666	catransaction-completed	163295811490041	0
26	0.866667	163295844856041	163295845099208	catransaction-completed	163295844843666	0
27	0.900000	163295878192791	163295878469041	catransaction-completed	163295878180791	0
28	0.933333	163295911537458	163295911743000	catransaction-completed	163295911519166	0
29	0.966667	163295944831541	163295944978291	catransaction-completed	163295944824208	0
30	1.000000	163295978162041	163295978403291	catransaction-completed	163295978146000	0
31	1.033333	163296011527666	163296011814500	catransaction-completed	163296011508833	0
32	1.066667	163296044844708	163296045081208	catransaction-completed	163296044833166	0
33	1.100000	163296078194125	163296078436958	catransaction-completed	163296078183250	0
34	1.133333	163296111481833	163296111646625	catransaction-completed	163296111473250	0
35	1.166667	163296144811000	163296144918333	catransaction-completed	163296144806833	0
36	1.200000	163296178159750	163296178238750	catransaction-completed	163296178155375	0
37	1.233333	163296211497416	163296211563458	catransaction-completed	163296211494375	0
38	1.266667	163296244825458	163296244889000	catransaction-completed	163296244821708	0
39	1.300000	163296278153541	163296278305541	catransaction-completed	163296278151083	0
40	1.333333	163296311486333	163296311558166	catransaction-completed	163296311483958	0
41	1.366667	163296344826125	163296344940916	catransaction-completed	163296344816458	0
42	1.400000	163296378146541	163296378289875	catransaction-completed	163296378139083	0
43	1.433333	163296411476666	163296411588583	catransaction-completed	163296411468625	0
44	1.466667	163296444820333	163296444967750	catransaction-completed	163296444813500	0
45	1.500000	163296478175500	163296478382666	catransaction-completed	163296478165833	0
46	1.533333	163296511520375	163296511763625	catransaction-completed	163296511510083	0
47	1.566667	163296544811875	163296544927000	catransaction-completed	163296544804791	0
48	1.600000	163296578244333	163296578382750	catransaction-completed	163296578233250	0
49	1.633333	163296611490166	163296611775750	catransaction-completed	163296611480000	0
50	1.666667	163296644844125	163296645002958	catransaction-completed	163296644833458	0
51	1.700000	163296678157458	163296678288625	catransaction-completed	163296678152541	0
52	1.733333	163296711497625	163296711645958	catransaction-completed	163296711491583	0
53	1.766667	163296744827208	163296744985708	catransaction-completed	163296744819833	0
54	1.800000	163296778161208	163296778443916	catransaction-completed	163296778144791	0
55	1.833333	163296811517125	163296811781125	catransaction-completed	163296811505875	0
56	1.866667	163296844826000	163296845091375	catransaction-completed	163296844814666	0
57	1.900000	163296878155041	163296878236541	catransaction-completed	163296878149208	0
58	1.933333	163296911531375	163296911775916	catransaction-completed	163296911517500	0
59	1.966667	163296944819375	163296944956375	catransaction-completed	163296944814875	0
60	2.000000	163296978147333	163296978409875	catransaction-completed	163296978134916	0
61	2.033333	163297011483041	163297011706583	catransaction-completed	163297011470041	0
62	2.066667	163297044820250	163297045013125	catransaction-completed	163297044807250	0
63	2.100000	163297070549291	163297070739916	catransaction-completed	163297070538500	0
64	2.133333	163297111517291	163297111900666	catransaction-completed	163297111505416	0
65	2.166667	163297144843916	163297145090750	catransaction-completed	163297144828541	0
66	2.200000	163297178148666	163297178378166	catransaction-completed	163297178138833	0
67	2.233333	163297211506750	163297211720375	catransaction-completed	163297211492750	0
68	2.266667	163297244829125	163297245030250	catransaction-completed	163297244821750	0
69	2.300000	163297278169791	163297278539833	catransaction-completed	163297278160166	0
70	2.333333	163297311509333	163297311627666	catransaction-completed	163297311503958	0
71	2.366667	163297344805375	163297344892500	catransaction-completed	163297344801666	0
72	2.400000	163297378158875	163297378232708	catransaction-completed	163297378156458	0
