frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
0	0.000000	163232717256250	0	none	163232707539083	0
1	0.033333	163232741755250	0	none	163232740900833	0
2	0.066667	163232774292500	163232798683291	drawable-presented	163232774226458	0
3	0.100000	163232807610291	163232832016666	drawable-presented	163232807554041	0
4	0.133333	163232840974791	163232865350083	drawable-presented	163232840891750	0
5	0.166667	163232874316958	163232898683458	drawable-presented	163232874233875	0
6	0.200000	163232907819166	163232932020791	drawable-presented	163232907560458	0
7	0.233333	163232941030416	163232965350166	drawable-presented	163232940878041	0
8	0.266667	163232974353625	163232998683583	drawable-presented	163232974226333	0
9	0.300000	163233007756250	163233032016958	drawable-presented	163233007556750	0
10	0.333333	163233041028875	163233065350375	drawable-presented	163233040887250	0
11	0.366667	163233082666500	163233107017083	drawable-presented	163233082540583	0
12	0.400000	163233115973083	163233140350458	drawable-presented	163233115870791	0
13	0.433333	163233149242625	163233173683833	drawable-presented	163233149204750	0
14	0.466667	163233182642166	163233207017208	drawable-presented	163233182551041	0
15	0.500000	163233207629250	163233232017250	drawable-presented	163233207556916	0
16	0.533333	163233240941416	163233265350625	drawable-presented	163233240896875	0
17	0.566667	163233274269416	163233298684000	drawable-presented	163233274216125	0
18	0.600000	163233307748250	163233332017416	drawable-presented	163233307556416	0
19	0.633333	163233341220958	163233365350791	drawable-presented	163233340887333	0
20	0.666667	163233374376416	163233398684166	drawable-presented	163233374229708	0
21	0.700000	163233407763375	163233432017541	drawable-presented	163233407591875	0
22	0.733333	163233441036458	163233465350916	drawable-presented	163233440883916	0
23	0.766667	163233482624583	163233507017666	drawable-presented	163233482543583	0
24	0.800000	163233515976541	163233540351083	drawable-presented	163233515879750	0
25	0.833333	163233541116083	163233565351083	drawable-presented	163233540897666	0
26	0.866667	163233574326833	163233598684500	drawable-presented	163233574225541	0
27	0.900000	163233615927166	163233640351166	drawable-presented	163233615870166	0
28	0.933333	163233649302916	163233673684583	drawable-presented	163233649216750	0
29	0.966667	163233682630625	163233707018000	drawable-presented	163233682546583	0
30	1.000000	163233716068791	163233740351375	drawable-presented	163233715902166	0
31	1.033333	163233741028208	163233765351333	drawable-presented	163233740925875	0
32	1.066667	163233782674291	163233807018083	drawable-presented	163233782552250	0
33	1.100000	163233807641625	163233832018166	drawable-presented	163233807553416	0
34	1.133333	163233841025708	163233865351541	drawable-presented	163233840952208	0
35	1.166667	163233874307916	163233898684875	drawable-presented	163233874217083	0
36	1.200000	163233907649083	163233932018291	drawable-presented	163233907546708	0
37	1.233333	163233940991291	163233965351666	drawable-presented	163233940897916	0
38	1.266667	163233974494375	163233998685041	drawable-presented	163233974274291	0
39	1.300000	163234015951458	163234040351708	drawable-presented	163234015869666	0
40	1.333333	163234041052125	163234065351833	drawable-presented	163234040894250	0
41	1.366667	163234074295041	163234098685166	drawable-presented	163234074212708	0
42	1.400000	163234107639166	163234132018541	drawable-presented	163234107551125	0
43	1.433333	163234140927541	163234165351916	drawable-presented	163234140879458	0
44	1.466667	163234174411666	163234198685291	drawable-presented	163234174218458	0
45	1.500000	163234207638500	163234232018666	drawable-presented	163234207554333	0
46	1.533333	163234240963125	163234265352041	drawable-presented	163234240878208	0
47	1.566667	163234282596208	163234307018791	drawable-presented	163234282526958	0
48	1.600000	163234315951958	163234340352125	drawable-presented	163234315875458	0
49	1.633333	163234349292708	163234373685500	drawable-presented	163234349203833	0
50	1.666667	163234374301375	163234398685625	drawable-presented	163234374210833	0
51	1.700000	163234407738125	163234432018958	drawable-presented	163234407586958	0
52	1.733333	163234449362666	163234473685916	drawable-presented	163234449207416	0
53	1.766667	163234482664791	163234507019041	drawable-presented	163234482546625	0
54	1.800000	163234516024708	163234540352458	drawable-presented	163234515901375	0
55	1.833333	163234541162791	163234557019125	drawable-presented	163234540882833	0
56	1.866667	163234574349958	163234598685916	drawable-presented	163234574236375	0
57	1.900000	163234616098750	163234640352583	drawable-presented	163234615867083	0
58	1.933333	163234641093250	163234665352625	drawable-presented	163234640895708	0
59	1.966667	163234682617750	163234707019375	drawable-presented	163234682520166	0
60	2.000000	163234715984000	163234740352708	drawable-presented	163234715863833	0
61	2.033333	163234741354416	163234765352708	drawable-presented	163234740899958	0
62	2.066667	163234774474250	163234798686125	drawable-presented	163234774262916	0
63	2.100000	163234815911833	163234840352875	drawable-presented	163234815865583	0
64	2.133333	163234849242750	163234873686250	drawable-presented	163234849196375	0
65	2.166667	163234874249250	163234890352916	drawable-presented	163234874215916	0
66	2.200000	163234915903166	163234940353041	drawable-presented	163234915857708	0
67	2.233333	163234949238291	163234965353083	drawable-presented	163234949195625	0
68	2.266667	163234982650750	163235007019750	drawable-presented	163234982535541	0
69	2.300000	163235015912375	163235040353166	drawable-presented	163235015865083	0
70	2.333333	163235049255875	163235073686500	drawable-presented	163235049204750	0
71	2.366667	163235082621291	163235098686625	drawable-presented	163235082530833	0
72	2.400000	163235115959791	163235140353291	drawable-presented	163235115861416	0
73	2.433333	163235149240333	163235165353333	drawable-presented	163235149193125	0
74	2.466667	163235182573750	163235198686750	drawable-presented	163235182530583	0
75	2.500000	163235215904500	163235240353416	drawable-presented	163235215864083	0
76	2.533333	163235249243416	163235273686833	drawable-presented	163235249196708	0
77	2.566667	163235282567458	163235307020208	drawable-presented	163235282523875	0
78	2.600000	163235315910833	163235332020250	drawable-presented	163235315867625	0
79	2.633333	163235349236875	163235373686958	drawable-presented	163235349195750	0
80	2.666667	163235382633583	163235407020375	drawable-presented	163235382558083	0
81	2.700000	163235415926208	163235432020333	drawable-presented	163235415867125	0
82	2.733333	163235449239083	163235473687083	drawable-presented	163235449196625	0
83	2.766667	163235482575125	163235507020500	drawable-presented	163235482528791	0
84	2.800000	163235515977958	163235532020583	drawable-presented	163235515863750	0
85	2.833333	163235549288250	163235573687250	drawable-presented	163235549210750	0
86	2.866667	163235582693916	163235598687291	drawable-presented	163235582564250	0
87	2.900000	163235607662000	163235632020666	drawable-presented	163235607555250	0
88	2.933333	163235641314625	163235657020708	drawable-presented	163235640976250	0
89	2.966667	163235674446291	163235698687458	drawable-presented	163235674211250	0
90	3.000000	163235716058458	163235740354125	drawable-presented	163235715892375	0
91	3.033333	163235749386916	163235765354125	drawable-presented	163235749226458	0
92	3.066667	163235774752166	163235798687583	drawable-presented	163235774398083	0
93	3.100000	163235807733500	163235832020958	drawable-presented	163235807550916	0
94	3.133333	163235849283375	163235873687708	drawable-presented	163235849201708	0
95	3.166667	163235882884458	163235907021041	drawable-presented	163235882564750	0
96	3.200000	163235916044125	163235932021041	drawable-presented	163235915893666	0
97	3.233333	163235941012250	163235965354458	drawable-presented	163235940878833	0
98	3.266667	163235974274666	163235998687875	drawable-presented	163235974216958	0
99	3.300000	163236015963333	163236040354541	drawable-presented	163236015880125	0
100	3.333333	163236049267250	163236073687958	drawable-presented	163236049208583	0
101	3.366667	163236082593333	163236107021333	drawable-presented	163236082534750	0
102	3.400000	163236115894333	163236140354666	drawable-presented	163236115860875	0
103	3.433333	163236149262541	163236173688083	drawable-presented	163236149194958	0
104	3.466667	163236182628791	163236207021458	drawable-presented	163236182545416	0
105	3.500000	163236215916750	163236240354833	drawable-presented	163236215878083	0
